"filename", "language", "Python", "MS SQL", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\test_login.py", "Python", 19, 0, 0, 0, 0, 4, 23
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\__init__.py", "Python", -88, 0, 0, 0, -31, -9, -128
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\_decorating.py", "Python", -63, 0, 0, 0, -27, -22, -112
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\_scripting.py", "Python", -274, 0, 0, 0, -57, -76, -407
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\abstracts.py", "Python", -2599, 0, 0, 0, -104, -510, -3213
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\__init__.py", "Python", -188, 0, 0, 0, -32, -36, -256
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\_decorating.py", "Python", -64, 0, 0, 0, -27, -22, -113
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\abstracts.py", "Python", -2058, 0, 0, 0, -80, -393, -2531
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\authentication.py", "Python", -252, 0, 0, 0, -31, -53, -336
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\charsets.py", "Python", -625, 0, 0, 0, -27, -35, -687
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\connection.py", "Python", -1289, 0, 0, 0, -63, -180, -1532
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\cursor.py", "Python", -1129, 0, 0, 0, -64, -204, -1397
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\logger.py", "Python", -3, 0, 0, 0, -27, -4, -34
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\network.py", "Python", -583, 0, 0, 0, -73, -106, -762
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\__init__.py", "Python", -107, 0, 0, 0, -27, -29, -163
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\authentication_kerberos_client.py", "Python", -414, 0, 0, 0, -54, -110, -578
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\authentication_ldap_sasl_client.py", "Python", -457, 0, 0, 0, -47, -92, -596
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\authentication_oci_client.py", "Python", -161, 0, 0, 0, -36, -38, -235
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\authentication_openid_connect_client.py", "Python", -111, 0, 0, 0, -33, -29, -173
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\authentication_webauthn_client.py", "Python", -182, 0, 0, 0, -50, -60, -292
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\caching_sha2_password.py", "Python", -101, 0, 0, 0, -28, -32, -161
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\mysql_clear_password.py", "Python", -57, 0, 0, 0, -27, -22, -106
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\mysql_native_password.py", "Python", -70, 0, 0, 0, -27, -25, -122
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\plugins\sha256_password.py", "Python", -60, 0, 0, 0, -27, -23, -110
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\protocol.py", "Python", -249, 0, 0, 0, -36, -41, -326
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\aio\utils.py", "Python", -97, 0, 0, 0, -30, -29, -156
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\authentication.py", "Python", -295, 0, 0, 0, -32, -59, -386
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\charsets.py", "Python", -583, 0, 0, 0, -31, -7, -621
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\connection.py", "Python", -1480, 0, 0, 0, -67, -237, -1784
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\connection_cext.py", "Python", -969, 0, 0, 0, -53, -149, -1171
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\constants.py", "Python", -976, 0, 0, 0, -35, -132, -1143
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\conversion.py", "Python", -614, 0, 0, 0, -47, -112, -773
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\cursor.py", "Python", -1211, 0, 0, 0, -63, -220, -1494
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\cursor_cext.py", "Python", -1004, 0, 0, 0, -68, -210, -1282
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\custom_types.py", "Python", -15, 0, 0, 0, -27, -8, -50
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\dbapi.py", "Python", -41, 0, 0, 0, -29, -23, -93
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\base.py", "Python", -509, 0, 0, 0, -61, -84, -654
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\client.py", "Python", -57, 0, 0, 0, -29, -21, -107
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\compiler.py", "Python", -15, 0, 0, 0, -27, -4, -46
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\creation.py", "Python", -3, 0, 0, 0, -27, -4, -34
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\features.py", "Python", -15, 0, 0, 0, -27, -9, -51
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\introspection.py", "Python", -371, 0, 0, 0, -65, -26, -462
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\operations.py", "Python", -58, 0, 0, 0, -30, -17, -105
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\schema.py", "Python", -23, 0, 0, 0, -28, -9, -60
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\django\validation.py", "Python", -3, 0, 0, 0, -27, -4, -34
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\errorcode.py", "Python", -1839, 0, 0, 0, -33, -6, -1878
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\errors.py", "Python", -280, 0, 0, 0, -37, -77, -394
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\locales\__init__.py", "Python", -40, 0, 0, 0, -27, -14, -81
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\locales\eng\__init__.py", "Python", -2, 0, 0, 0, -27, -2, -31
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\locales\eng\client_error.py", "Python", -116, 0, 0, 0, -32, -5, -153
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\logger.py", "Python", -3, 0, 0, 0, -27, -4, -34
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\network.py", "Python", -619, 0, 0, 0, -80, -113, -812
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\opentelemetry\__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\opentelemetry\constants.py", "Python", -35, 0, 0, 0, -32, -11, -78
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\opentelemetry\context_propagation.py", "Python", -55, 0, 0, 0, -33, -25, -113
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\opentelemetry\instrumentation.py", "Python", -487, 0, 0, 0, -62, -138, -687
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\optionfiles.py", "Python", -283, 0, 0, 0, -30, -55, -368
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\__init__.py", "Python", -106, 0, 0, 0, -27, -28, -161
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\authentication_kerberos_client.py", "Python", -414, 0, 0, 0, -54, -109, -577
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\authentication_ldap_sasl_client.py", "Python", -457, 0, 0, 0, -47, -92, -596
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\authentication_oci_client.py", "Python", -161, 0, 0, 0, -36, -38, -235
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\authentication_openid_connect_client.py", "Python", -112, 0, 0, 0, -33, -29, -174
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\authentication_webauthn_client.py", "Python", -182, 0, 0, 0, -50, -59, -291
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\caching_sha2_password.py", "Python", -101, 0, 0, 0, -28, -31, -160
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\mysql_clear_password.py", "Python", -57, 0, 0, 0, -27, -21, -105
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\mysql_native_password.py", "Python", -70, 0, 0, 0, -27, -24, -121
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\plugins\sha256_password.py", "Python", -60, 0, 0, 0, -27, -22, -109
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\pooling.py", "Python", -544, 0, 0, 0, -41, -115, -700
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\protocol.py", "Python", -967, 0, 0, 0, -50, -138, -1155
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\tls_ciphers.py", "Python", -128, 0, 0, 0, -30, -11, -169
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\types.py", "Python", -151, 0, 0, 0, -28, -35, -214
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\utils.py", "Python", -567, 0, 0, 0, -48, -146, -761
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\mysql\connector\version.py", "Python", -12, 0, 0, 0, -29, -6, -47
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\__init__.py", "Python", 148, 0, 0, 0, 5, 31, 184
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\_auth.py", "Python", 171, 0, 0, 0, 27, 71, 269
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\charset.py", "Python", 198, 0, 0, 0, 1, 18, 217
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\connections.py", "Python", 1160, 0, 0, 0, 94, 178, 1432
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\constants\CLIENT.py", "Python", 35, 0, 0, 0, 2, 2, 39
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\constants\COMMAND.py", "Python", 32, 0, 0, 0, 0, 1, 33
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\constants\CR.py", "Python", 75, 0, 0, 0, 2, 3, 80
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\constants\ER.py", "Python", 474, 0, 0, 0, 2, 2, 478
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\constants\FIELD_TYPE.py", "Python", 30, 0, 0, 0, 0, 2, 32
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\constants\FLAG.py", "Python", 15, 0, 0, 0, 0, 1, 16
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\constants\SERVER_STATUS.py", "Python", 10, 0, 0, 0, 0, 1, 11
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\constants\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\converters.py", "Python", 262, 0, 0, 0, 10, 92, 364
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\cursors.py", "Python", 422, 0, 0, 0, 17, 93, 532
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\err.py", "Python", 113, 0, 0, 0, 4, 34, 151
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\optionfile.py", "Python", 16, 0, 0, 0, 0, 6, 22
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\protocol.py", "Python", 278, 0, 0, 0, 10, 69, 357
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\venv\Lib\site-packages\pymysql\times.py", "Python", 12, 0, 0, 0, 0, 9, 21
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\agregar_producto.py", "Python", 9, 0, 0, 0, 0, 5, 14
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\agregar_servicio.py", "Python", 33, 0, 0, 0, -5, 6, 34
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\home.py", "Python", -2, 0, 0, 0, 0, 0, -2
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\inventario.py", "Python", 59, 0, 0, 0, -5, 16, 70
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\login.py", "Python", -11, 0, 0, 0, 0, -3, -14
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\modificar_producto.py", "Python", 13, 0, 0, 0, 0, 1, 14
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\promociones.py", "Python", 1, 0, 0, 0, 0, 0, 1
"c:\Users\makib\Documents\EntornosVirtuales\BaseDeDatosSalonDeBelleza\views\servicios.py", "Python", 64, 0, 0, 0, 0, 12, 76
"Total", "-", -23506, 93, 1102, 1, -2664, -4141, -29115
